case,Last_Event,First_Event,Case_Duration,Variants,Case_Duration in minutes
1153,End,Register,1292.0,1,21.53
1154,End,Register,1450.0,1,24.17
1157,End,Register,1453.0,1,24.22
1158,End,Register,1202.0,1,20.03
1159,End,Register,1175.0,1,19.58
1165,End,Register,1361.0,1,22.68
1171,End,Register,1309.0,1,21.82
1172,End,Register,1105.0,1,18.42
1173,End,Register,1380.0,1,23.0
1175,End,Register,1222.0,1,20.37
1177,End,Register,1377.0,1,22.95
1179,End,Register,1072.0,1,17.87
1180,End,Register,1535.0,1,25.58
1182,End,Register,1214.0,1,20.23
1184,End,Register,1221.0,1,20.35
1185,End,Register,1267.0,1,21.12
1186,End,Register,1148.0,1,19.13
1188,End,Register,1318.0,1,21.97
1190,End,Register,1110.0,1,18.5
1193,End,Register,1222.0,1,20.37
1198,End,Register,1239.0,1,20.65
1201,End,Register,1249.0,1,20.82
1202,End,Register,1116.0,1,18.6
1204,End,Register,1153.0,1,19.22
1205,End,Register,1304.0,1,21.73
1206,End,Register,1156.0,1,19.27
1209,End,Register,1231.0,1,20.52
1210,End,Register,1437.0,1,23.95
1213,End,Register,1062.0,1,17.7
1214,End,Register,1315.0,1,21.92
1215,End,Register,1270.0,1,21.17
1217,End,Register,1171.0,1,19.52
1218,End,Register,1309.0,1,21.82
1221,End,Register,1142.0,1,19.03
1223,End,Register,1182.0,1,19.7
1228,End,Register,1287.0,1,21.45
1231,End,Register,1315.0,1,21.92
1232,End,Register,1129.0,1,18.82
1233,End,Register,1289.0,1,21.48
1237,End,Register,1216.0,1,20.27
1239,End,Register,1237.0,1,20.62
1240,End,Register,1205.0,1,20.08
1241,End,Register,1382.0,1,23.03
1242,End,Register,1259.0,1,20.98
1246,End,Register,1277.0,1,21.28
1249,End,Register,1476.0,1,24.6
1250,End,Register,1119.0,1,18.65
1252,End,Register,1230.0,1,20.5
1255,End,Register,996.0,1,16.6
1258,End,Register,1383.0,1,23.05
1261,End,Register,1141.0,1,19.02
1265,End,Register,1235.0,1,20.58
1269,End,Register,1214.0,1,20.23
1272,End,Register,1146.0,1,19.1
1273,End,Register,1313.0,1,21.88
1275,End,Register,1404.0,1,23.4
1278,End,Register,1145.0,1,19.08
1279,End,Register,1288.0,1,21.47
1280,End,Register,1320.0,1,22.0
1281,End,Register,1346.0,1,22.43
1282,End,Register,1238.0,1,20.63
1283,End,Register,1166.0,1,19.43
1284,End,Register,1238.0,1,20.63
1285,End,Register,1582.0,1,26.37
1286,End,Register,1266.0,1,21.1
1287,End,Register,1263.0,1,21.05
1289,End,Register,1218.0,1,20.3
1290,End,Register,1499.0,1,24.98
1294,End,Register,998.0,1,16.63
1296,End,Register,1276.0,1,21.27
1297,End,Register,1304.0,1,21.73
1300,End,Register,1155.0,1,19.25
1301,End,Register,1166.0,1,19.43
1303,End,Register,1313.0,1,21.88
1304,End,Register,1279.0,1,21.32
1306,End,Register,1156.0,1,19.27
1307,End,Register,1342.0,1,22.37
1308,End,Register,1342.0,1,22.37
1313,End,Register,966.0,1,16.1
1317,End,Register,1066.0,1,17.77
1318,End,Register,1063.0,1,17.72
1319,End,Register,1242.0,1,20.7
1321,End,Register,1142.0,1,19.03
1322,End,Register,1307.0,1,21.78
1323,End,Register,1434.0,1,23.9
1327,End,Register,1231.0,1,20.52
1329,End,Register,1144.0,1,19.07
1330,End,Register,1209.0,1,20.15
1331,End,Register,1367.0,1,22.78
1332,End,Register,1266.0,1,21.1
1334,End,Register,1225.0,1,20.42
1335,End,Register,1167.0,1,19.45
1336,End,Register,1374.0,1,22.9
1340,End,Register,1194.0,1,19.9
1343,End,Register,1109.0,1,18.48
1344,End,Register,1205.0,1,20.08
1347,End,Register,981.0,1,16.35
1348,End,Register,1013.0,1,16.88
1350,End,Register,1197.0,1,19.95
1352,End,Register,1322.0,1,22.03
1353,End,Register,1261.0,1,21.02
1354,End,Register,55553.0,1,925.88
